product_id,name,slug,sku,category,price,transfer_price,stock,brand,type,supplier,commercial_category,olfactory_family,intensity,occasion,gender
a6158818-9fa9-4762-a98f-06d6f7a8afb3,Lattafa Yara Candy,lattafa-yara-candy,,Perfumes,86649.35,66720,0,,Perfumes,COLD IMPORTADOR DIRECTO,,,,,
900a7c30-7412-4da3-b300-7d013044e853,Lattafa Yara moi,lattafa-yara-moi,,Perfumes,84363.64,64960,0,Lattafa,Perfumes,COLD IMPORTADOR DIRECTO,,,,,
f1cb2323-0e7f-49d6-a26f-110595c90e55,Lattafa Yara Rosa,lattafa-yara-rosa,,Perfumes,87077.92,67050,0,Lattafa,Perfumes,,,,,,
05b34469-3eb8-4148-8e97-9a19f1c2df6e,Lattafa Yara Rosa,perfume-yara-rosa,,Perfumes,71763,55257,1,Lattafa,Perfume,,,,,,
ef80b721-2c20-466d-8584-a9ab852dd6ca,Lattafa Yara Tous,lattafa-yara-tous,,Perfumes,88207.79,67920,0,,Perfumes,,,,,,
e53066cc-9c35-47e2-8d27-0fe5fb425ce8,Lattafa Yara Tous,perfume-lattafa-yara-tous,,Perfumes,66349,51088,2,SFSTORE,Perfume,,,,,,
63350249-ae3f-457d-8e5f-e3bb60be80e3,Odyseey Limoni,odyseey-limoni,,Perfumes,77922.08,60000,0,,Perfumes,COLD IMPORTADOR DIRECTO,,,,,
73070e5d-763d-4d39-af59-957126199cab,Odyssey Aqua,odyssey-aqua,,Perfumes,112207.79,86400,0,,Perfumes,,,,,,
53dda192-fa55-4d00-8deb-592b5f8deb4e,Odyssey Artisto,odyssey-artisto,,Perfumes,111601.69,85933.3,0,,Perfumes,COLD IMPORTADOR DIRECTO,,,,,
0c177ab6-1db8-4692-8bda-2ec0dcb7156a,Odyssey Go Mango,odyssey-go-mango,,Perfumes,146373.7,112707.75,0,,Perfumes,COLD IMPORTADOR DIRECTO,,,,,
b93f703a-2a95-4167-b9ea-168c380456b3,ODYSSEY MANDARIN SKY,odyssey-mandarin-sky,,Perfumes,93506.49,72000,0,,Perfumes,COLD IMPORTADOR DIRECTO,,,,,
68c61d33-eb0e-4078-85fd-4481f7856451,Odyssey Mega,odyssey-mega,,Perfumes,78896.1,60750,0,,Perfumes,,,,,,
