id,name,slug,category,status,stock,cost,cost_status,latest_confirmed_purchase_cost,latest_confirmed_purchase_at,price,transfer_price,margin_price_pct,margin_transfer_pct,description_status,description_reason,attributes_status,attributes_reason,images_count,images_status,completeness,issues,suggested_action,priority
edb4b664-5da6-489c-94c1-b0d1deb88232,BOX LOS SIMPSON,box-los-simpson,Regalos,active,0,14640,COST_WITHOUT_PURCHASE_SOURCE,,,47532.47,36600,224.68,150,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_OK,Cubre los atributos esperados para la categoria.,1,ONLY_ONE_IMAGE,86,COST_WITHOUT_PURCHASE_SOURCE|ONLY_ONE_IMAGE,Revisar costo contra la ultima compra confirmada.,MEDIUM
da8d3743-3ee5-4210-a387-49e4f87e9ec9,Box Presentación,box-presentacion,Regalos,active,3,5650,COST_WITHOUT_PURCHASE_SOURCE,,,15000,11300,165.49,100,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_OK,Cubre los atributos esperados para la categoria.,1,ONLY_ONE_IMAGE,86,COST_WITHOUT_PURCHASE_SOURCE|ONLY_ONE_IMAGE,Revisar costo contra la ultima compra confirmada.,MEDIUM
753fd426-1a8c-49c6-8e17-60b57ea59b8b,Cabezal Iphone,cabezal-iphone,Electrónica,draft,0,3650,COST_WITHOUT_PURCHASE_SOURCE,,,16590.91,12775,354.55,250,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_INCOMPLETE,"Faltan: brand, model, connectivity.",0,NO_IMAGES,57,COST_WITHOUT_PURCHASE_SOURCE|ATTRIBUTES_INCOMPLETE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
20530c08-7371-4726-8a0e-0c5023e7d513,CABLE 20W IPHONE,cable-20w-iphone,Electrónica,draft,0,3650,COST_WITHOUT_PURCHASE_SOURCE,,,11850.65,9125,224.68,150,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_INCOMPLETE,"Faltan: brand, model, connectivity.",0,NO_IMAGES,57,COST_WITHOUT_PURCHASE_SOURCE|ATTRIBUTES_INCOMPLETE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
d1abf544-2493-4dab-a769-53f9faa6c4be,CABLE USB - C CARGA RAPIDA,cable-usb-c-carga-rapida,Electrónica,draft,0,1439,COST_WITHOUT_PURCHASE_SOURCE,,,8409.74,6475.5,484.42,350,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_INCOMPLETE,"Faltan: brand, model, connectivity.",0,NO_IMAGES,57,COST_WITHOUT_PURCHASE_SOURCE|ATTRIBUTES_INCOMPLETE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
05cf6b25-7851-4a76-817f-1a704930fcc7,Camionero Criollo Base de Cuero,camionero-criollo-base-de-cuero,Accesorios,draft,0,8500,COST_WITHOUT_PURCHASE_SOURCE,,,25389.61,19550,198.7,130,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_OK,Cubre los atributos esperados para la categoria.,0,NO_IMAGES,71,COST_WITHOUT_PURCHASE_SOURCE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
55569c44-0777-491c-9c9a-04dc621c3685,Camiseta ARGENTINA BORDADA,camiseta-argentina-bordada,Accesorios,draft,0,18125,COST_WITHOUT_PURCHASE_SOURCE,,,47077.92,36250,159.74,100,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_OK,Cubre los atributos esperados para la categoria.,0,NO_IMAGES,71,COST_WITHOUT_PURCHASE_SOURCE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
b46e57f6-73f3-41c7-b1a7-4606c7e9ee13,Camiseta ARGENTINA TAILANDESA,camiseta-argentina-tailandesa,Accesorios,draft,0,24650,COST_WITHOUT_PURCHASE_SOURCE,,,64025.97,49300,159.74,100,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_OK,Cubre los atributos esperados para la categoria.,0,NO_IMAGES,71,COST_WITHOUT_PURCHASE_SOURCE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
4f905ebe-f1e2-4a83-adeb-5941adda5ec2,Camiseta ARGENTINA TERMOSELLADA,camiseta-argentina-termosellada,Termos,draft,0,21677.5,COST_WITHOUT_PURCHASE_SOURCE,,,56305.19,43355,159.74,100,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_INCOMPLETE,"Faltan: brand, capacity, material, color.",0,NO_IMAGES,57,COST_WITHOUT_PURCHASE_SOURCE|ATTRIBUTES_INCOMPLETE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
3e33942f-1d42-4b03-b30d-97da131b2cba,Canasta matera 100% cuero,canasta-matera-100-cuero,Mates,draft,0,20700,COST_WITHOUT_PURCHASE_SOURCE,,,48389.61,37260,133.77,80,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_INCOMPLETE,"Faltan: material, color.",0,NO_IMAGES,57,COST_WITHOUT_PURCHASE_SOURCE|ATTRIBUTES_INCOMPLETE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
